CMDLINE C:\Users\JPMR0\AppData\Local\Programs\Python\Python37-32\python.exe memory_MDA.py
MEM 72.308594 1589729653.5060
MEM 72.433594 1589729653.6068
MEM 72.558594 1589729653.7075
MEM 72.683594 1589729653.8082
MEM 72.808594 1589729653.9090
MEM 72.933594 1589729654.0098
MEM 73.078125 1589729654.1105
MEM 73.246094 1589729654.2112
MEM 73.351562 1589729654.3119
MEM 73.496094 1589729654.4127
MEM 73.621094 1589729654.5134
MEM 73.808594 1589729654.6142
MEM 73.859375 1589729654.7149
MEM 73.996094 1589729654.8156
MEM 74.062500 1589729654.9196
MEM 74.246094 1589729655.0199
MEM 74.343750 1589729655.1207
MEM 74.496094 1589729655.2214
MEM 74.683594 1589729655.3221
MEM 74.808594 1589729655.4228
MEM 74.933594 1589729655.5235
MEM 75.058594 1589729655.6243
MEM 75.117188 1589729655.7250
MEM 75.308594 1589729655.8257
MEM 75.433594 1589729655.9265
MEM 75.558594 1589729656.0272
MEM 75.683594 1589729656.1280
MEM 75.808594 1589729656.2287
MEM 75.996094 1589729656.3294
MEM 76.085938 1589729656.4301
MEM 76.246094 1589729656.5309
MEM 76.363281 1589729656.6316
MEM 76.558594 1589729656.7324
MEM 76.683594 1589729656.8331
MEM 76.808594 1589729656.9338
MEM 76.933594 1589729657.0346
MEM 77.058594 1589729657.1353
MEM 77.183594 1589729657.2360
MEM 77.308594 1589729657.3368
MEM 77.433594 1589729657.4375
MEM 77.558594 1589729657.5382
MEM 77.683594 1589729657.6389
MEM 77.808594 1589729657.7396
MEM 77.996094 1589729657.8404
MEM 78.074219 1589729657.9411
MEM 78.246094 1589729658.0418
MEM 78.363281 1589729658.1425
MEM 78.558594 1589729658.2432
MEM 78.683594 1589729658.3440
MEM 78.808594 1589729658.4447
MEM 78.933594 1589729658.5455
MEM 79.058594 1589729658.6462
MEM 79.183594 1589729658.7469
MEM 79.308594 1589729658.8477
MEM 79.496094 1589729658.9482
MEM 79.585938 1589729659.0489
MEM 79.746094 1589729659.1497
MEM 79.933594 1589729659.2504
MEM 80.058594 1589729659.3511
MEM 80.183594 1589729659.4518
MEM 80.308594 1589729659.5525
MEM 80.496094 1589729659.6533
MEM 80.597656 1589729659.7540
MEM 80.746094 1589729659.8547
MEM 80.871094 1589729659.9555
MEM 81.058594 1589729660.0562
MEM 81.183594 1589729660.1569
MEM 81.246094 1589729660.2577
MEM 81.359375 1589729660.3584
MEM 81.496094 1589729660.4591
MEM 81.683594 1589729660.5596
MEM 81.808594 1589729660.6603
MEM 81.933594 1589729660.7607
MEM 82.070312 1589729660.8615
MEM 82.246094 1589729660.9622
MEM 82.355469 1589729661.0629
MEM 82.558594 1589729661.1637
MEM 82.683594 1589729661.2644
MEM 82.808594 1589729661.3651
MEM 82.933594 1589729661.4658
MEM 83.070312 1589729661.5666
MEM 83.246094 1589729661.6673
MEM 83.355469 1589729661.7681
MEM 83.558594 1589729661.8688
MEM 83.683594 1589729661.9695
MEM 83.808594 1589729662.0702
MEM 83.933594 1589729662.1710
MEM 84.066406 1589729662.2717
MEM 84.246094 1589729662.3725
MEM 84.351562 1589729662.4731
MEM 84.496094 1589729662.5739
MEM 84.617188 1589729662.6746
MEM 84.746094 1589729662.7753
MEM 84.863281 1589729662.8761
MEM 84.996094 1589729662.9763
MEM 85.105469 1589729663.0771
MEM 85.246094 1589729663.1778
MEM 85.359375 1589729663.2785
MEM 85.496094 1589729663.3792
MEM 85.617188 1589729663.4800
MEM 85.746094 1589729663.5807
MEM 85.855469 1589729663.6815
MEM 85.996094 1589729663.7822
MEM 86.183594 1589729663.8829
MEM 86.308594 1589729663.9836
MEM 86.433594 1589729664.0844
MEM 86.558594 1589729664.1851
MEM 86.683594 1589729664.2858
MEM 86.808594 1589729664.3859
MEM 86.933594 1589729664.4866
MEM 87.066406 1589729664.5874
MEM 87.246094 1589729664.6881
MEM 87.347656 1589729664.7888
MEM 87.496094 1589729664.8895
MEM 87.683594 1589729664.9903
MEM 87.808594 1589729665.0910
MEM 87.933594 1589729665.1917
MEM 88.058594 1589729665.2925
MEM 88.183594 1589729665.3932
MEM 88.312500 1589729665.4939
MEM 88.496094 1589729665.5946
MEM 88.597656 1589729665.6954
MEM 88.746094 1589729665.7958
MEM 88.933594 1589729665.8965
MEM 89.058594 1589729665.9972
MEM 89.183594 1589729666.0979
MEM 89.308594 1589729666.1987
MEM 89.496094 1589729666.2994
MEM 89.585938 1589729666.4001
MEM 89.746094 1589729666.5009
MEM 89.867188 1589729666.6016
MEM 90.058594 1589729666.7024
MEM 90.183594 1589729666.8030
MEM 90.308594 1589729666.9037
MEM 90.496094 1589729667.0045
MEM 90.582031 1589729667.1052
MEM 90.746094 1589729667.2059
MEM 90.808594 1589729667.3066
MEM 90.933594 1589729667.4074
MEM 91.062500 1589729667.5081
MEM 91.246094 1589729667.6088
MEM 91.246094 1589729667.7097
MEM 91.246094 1589729667.8109
MEM 91.246094 1589729667.9114
MEM 91.246094 1589729668.0116
MEM 91.246094 1589729668.1123
MEM 91.246094 1589729668.2131
